,make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
0,alfa-romero,gas,convertible,2548,four,130,111,21,27,13495
1,alfa-romero,gas,convertible,2548,four,130,111,21,27,16500
2,alfa-romero,gas,hatchback,2823,six,152,154,19,26,16500
3,audi,gas,sedan,2337,four,109,102,24,30,13950
4,audi,gas,sedan,2824,five,136,115,18,22,17450
5,audi,gas,sedan,2507,five,136,110,19,25,15250
6,audi,gas,sedan,2844,five,136,110,19,25,17710
7,audi,gas,wagon,2954,five,136,110,19,25,18920
8,audi,gas,sedan,3086,five,131,140,17,20,23875
10,bmw,gas,sedan,2395,four,108,101,23,29,16430
11,bmw,gas,sedan,2395,four,108,101,23,29,16925
12,bmw,gas,sedan,2710,six,164,121,21,28,20970
13,bmw,gas,sedan,2765,six,164,121,21,28,21105
14,bmw,gas,sedan,3055,six,164,121,20,25,24565
15,bmw,gas,sedan,3230,six,209,182,16,22,30760
16,bmw,gas,sedan,3380,six,209,182,16,22,41315
17,bmw,gas,sedan,3505,six,209,182,15,20,36880
18,chevrolet,gas,hatchback,1488,three,61,48,47,53,5151
19,chevrolet,gas,hatchback,1874,four,90,70,38,43,6295
20,chevrolet,gas,sedan,1909,four,90,70,38,43,6575
21,dodge,gas,hatchback,1876,four,90,68,37,41,5572
22,dodge,gas,hatchback,1876,four,90,68,31,38,6377
23,dodge,gas,hatchback,2128,four,98,102,24,30,7957
24,dodge,gas,hatchback,1967,four,90,68,31,38,6229
25,dodge,gas,sedan,1989,four,90,68,31,38,6692
26,dodge,gas,sedan,1989,four,90,68,31,38,7609
27,dodge,gas,sedan,2191,four,98,102,24,30,8558
28,dodge,gas,wagon,2535,four,122,88,24,30,8921
29,dodge,gas,hatchback,2811,four,156,145,19,24,12964
30,honda,gas,hatchback,1713,four,92,58,49,54,6479
31,honda,gas,hatchback,1819,four,92,76,31,38,6855
32,honda,gas,hatchback,1837,four,79,60,38,42,5399
33,honda,gas,hatchback,1940,four,92,76,30,34,6529
34,honda,gas,hatchback,1956,four,92,76,30,34,7129
35,honda,gas,sedan,2010,four,92,76,30,34,7295
36,honda,gas,wagon,2024,four,92,76,30,34,7295
37,honda,gas,hatchback,2236,four,110,86,27,33,7895
38,honda,gas,hatchback,2289,four,110,86,27,33,9095
39,honda,gas,sedan,2304,four,110,86,27,33,8845
40,honda,gas,sedan,2372,four,110,86,27,33,10295
41,honda,gas,sedan,2465,four,110,101,24,28,12945
42,honda,gas,sedan,2293,four,110,100,25,31,10345
43,isuzu,gas,sedan,2337,four,111,78,24,29,6785
46,isuzu,gas,hatchback,2734,four,119,90,24,29,11048
47,jaguar,gas,sedan,4066,six,258,176,15,19,32250
48,jaguar,gas,sedan,4066,six,258,176,15,19,35550
49,jaguar,gas,sedan,3950,twelve,326,262,13,17,36000
50,mazda,gas,hatchback,1890,four,91,68,30,31,5195
51,mazda,gas,hatchback,1900,four,91,68,31,38,6095
52,mazda,gas,hatchback,1905,four,91,68,31,38,6795
53,mazda,gas,sedan,1945,four,91,68,31,38,6695
54,mazda,gas,sedan,1950,four,91,68,31,38,7395
55,mazda,gas,hatchback,2380,two,70,101,17,23,10945
56,mazda,gas,hatchback,2380,two,70,101,17,23,11845
57,mazda,gas,hatchback,2385,two,70,101,17,23,13645
58,mazda,gas,hatchback,2500,two,80,135,16,23,15645
59,mazda,gas,hatchback,2385,four,122,84,26,32,8845
60,mazda,gas,sedan,2410,four,122,84,26,32,8495
61,mazda,gas,hatchback,2385,four,122,84,26,32,10595
62,mazda,gas,sedan,2410,four,122,84,26,32,10245
63,mazda,diesel,sedan,2443,four,122,64,36,42,10795
64,mazda,gas,hatchback,2425,four,122,84,26,32,11245
65,mazda,gas,sedan,2670,four,140,120,19,27,18280
66,mazda,diesel,sedan,2700,four,134,72,31,39,18344
67,mercedes-benz,diesel,sedan,3515,five,183,123,22,25,25552
68,mercedes-benz,diesel,wagon,3750,five,183,123,22,25,28248
69,mercedes-benz,diesel,hardtop,3495,five,183,123,22,25,28176
70,mercedes-benz,diesel,sedan,3770,five,183,123,22,25,31600
71,mercedes-benz,gas,sedan,3740,eight,234,155,16,18,34184
72,mercedes-benz,gas,convertible,3685,eight,234,155,16,18,35056
73,mercedes-benz,gas,sedan,3900,eight,308,184,14,16,40960
74,mercedes-benz,gas,hardtop,3715,eight,304,184,14,16,45400
75,mercury,gas,hatchback,2910,four,140,175,19,24,16503
76,mitsubishi,gas,hatchback,1918,four,92,68,37,41,5389
77,mitsubishi,gas,hatchback,1944,four,92,68,31,38,6189
78,mitsubishi,gas,hatchback,2004,four,92,68,31,38,6669
79,mitsubishi,gas,hatchback,2145,four,98,102,24,30,7689
80,mitsubishi,gas,hatchback,2370,four,110,116,23,30,9959
81,mitsubishi,gas,hatchback,2328,four,122,88,25,32,8499
82,mitsubishi,gas,hatchback,2833,four,156,145,19,24,12629
83,mitsubishi,gas,hatchback,2921,four,156,145,19,24,14869
84,mitsubishi,gas,hatchback,2926,four,156,145,19,24,14489
85,mitsubishi,gas,sedan,2365,four,122,88,25,32,6989
86,mitsubishi,gas,sedan,2405,four,122,88,25,32,8189
87,mitsubishi,gas,sedan,2403,four,110,116,23,30,9279
88,mitsubishi,gas,sedan,2403,four,110,116,23,30,9279
89,nissan,gas,sedan,1889,four,97,69,31,37,5499
90,nissan,diesel,sedan,2017,four,103,55,45,50,7099
91,nissan,gas,sedan,1918,four,97,69,31,37,6649
92,nissan,gas,sedan,1938,four,97,69,31,37,6849
93,nissan,gas,wagon,2024,four,97,69,31,37,7349
94,nissan,gas,sedan,1951,four,97,69,31,37,7299
95,nissan,gas,hatchback,2028,four,97,69,31,37,7799
96,nissan,gas,sedan,1971,four,97,69,31,37,7499
97,nissan,gas,wagon,2037,four,97,69,31,37,7999
98,nissan,gas,hardtop,2008,four,97,69,31,37,8249
